Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
White,Good,4,Rwd,Gas,Chrysler,Pt,120000,3000,Clean,1,2009
Black,Good,4,Fwd,Gas,Audi,A4,147000,2700,Clean,1,2006
White,Excellent,8,4Wd,Gas,Mercedes,Ml350,137000,6000,Clean,1,2006
Red,Good,8,Rwd,Gas,Nissan,Titan,141000,4500,Clean,1,2006
White,Excellent,6,Rwd,Gas,Ford,Ranger,176000,7600,Clean,0,2006
Black,Excellent,4,Fwd,Gas,Honda,Crv,115000,8900,Clean,1,2009
White,Like New,6,4Wd,Gas,Audi,Q7,120000,11800,Clean,1,2014
Silver,Like New,4,Fwd,Gas,Toyota,Camry,25000,18500,Clean,1,2014
Grey,Excellent,8,4Wd,Gas,Jeep,Grand,240000,7000,Clean,1,1998
Grey,Excellent,6,Rwd,Gas,Mercedes,C300,62000,14990,Clean,1,2011
Silver,Excellent,8,Rwd,Gas,Toyota,Tundra,96678,14000,Clean,1,2002
Red,Good,4,Fwd,Gas,Toyota,Prius,212122,3900,Rebuilt,1,2005
White,Good,4,Fwd,Gas,Scion,Xb,200000,3800,Clean,0,2008
Red,Excellent,6,Rwd,Gas,Lexus,Gs,192324,8500,Clean,1,2007
Silver,Like New,4,Fwd,Gas,Honda,Civic,61741,20000,Clean,1,2016
White,Good,8,Rwd,Gas,Ford,F350,151000,4900,Clean,1,1991
White,Excellent,8,4Wd,Diesel,Chevrolet,Silverado,162000,17900,Salvage,1,2005
White,Excellent,6,Fwd,Gas,Chrysler,Sebring,38855,7500,Clean,1,2001
Black,Excellent,4,Rwd,Gas,Chevrolet,Trailblazer,25303,16750,Salvage,1,2022
Black,Good,8,Rwd,Gas,Chevrolet,Corvette,109700,16000,Clean,1,2004
Blue,Excellent,6,4Wd,Gas,Nissan,Frontier,79000,22900,Clean,0,2015
Blue,Good,4,4Wd,Gas,Volkswagen,Tiguan,135114,6500,Clean,1,2010
Red,Good,4,Fwd,Gas,Honda,Crv,175000,6850,Clean,1,2008
Black,Excellent,4,Fwd,Gas,Kia,Sportage,169975,3900,Clean,1,2008
Grey,Excellent,4,4Wd,Gas,Volvo,Xc90,15800,39000,Clean,1,2020
White,Excellent,6,Fwd,Gas,Ford,Escape,170000,6500,Clean,1,2008
Red,Excellent,6,Fwd,Gas,Toyota,Camry,158800,9500,Clean,1,2012
Silver,Good,4,Rwd,Diesel,Volkswagen,Jetta,59271,12500,Clean,1,2013
Blue,Excellent,4,Fwd,Gas,Honda,Fit,175000,6900,Clean,1,2013
Black,Good,4,Rwd,Gas,Toyota,Highlander,88123,13500,Clean,1,2009
White,Like New,4,Rwd,Gas,Nissan,Sentra,41850,19999,Clean,1,2021
Black,Good,6,Rwd,Gas,Nissan,Xterra,81123,9700,Clean,0,2008
Silver,Excellent,4,Rwd,Gas,Toyota,Avalon,188,2950,Clean,1,2003
Black,Excellent,4,Rwd,Gas,Honda,Accord,200,3800,Clean,1,2003
Black,Excellent,4,4Wd,Gas,Mazda,Cx,112500,10500,Clean,1,2010
Silver,Excellent,6,Fwd,Gas,Mercedes,Ml350,107110,6995,Clean,1,2006
White,Excellent,4,Fwd,Gas,Honda,Accord,50000,15500,Clean,1,2015
White,Excellent,4,Fwd,Gas,Mini Cooper,S,69500,17000,Clean,1,2013
White,Excellent,8,4Wd,Gas,Chevrolet,Silverado,57000,28000,Salvage,1,2016
White,Excellent,6,Fwd,Gas,Toyota,Tacoma,82232,16950,Clean,1,2006
Silver,Excellent,4,Fwd,Hybrid,Toyota,Prius,184000,5495,Clean,1,2005
White,Fair,6,Fwd,Gas,Lexus,Es,167000,6000,Clean,1,2011
Black,Excellent,4,Fwd,Gas,Toyota,Tacoma,153421,8350,Clean,1,2001
Black,Fair,5,4Wd,Gas,Ford,F150,35000,5000,Rebuilt,1,2005
Silver,Excellent,4,Fwd,Gas,Honda,Accord,46000,11500,Clean,1,2007
Silver,Good,4,Fwd,Gas,Honda,Civic,178000,4800,Clean,1,2004
Silver,Good,4,Rwd,Gas,Kia,Optima,113000,7400,Clean,1,2016
White,Excellent,6,Fwd,Gas,Hyundai,Sonata,105000,6250,Clean,1,2007
White,Excellent,6,Rwd,Gas,Toyota,Tacoma,87000,12300,Clean,1,2003
